"","run_accession","submission_accession","study_abstract","study_description"
"137","ERR225962","ERA193350","We performed a metagenomic study to describe the effect of different antibiotics on the gut microbiota of five individuals.  We sequenced the metagenomes, metatranscriptomes and the amplicons of the 16SrDNA gene of samples before, during and after the antibiotic treatment for each patient. It was used a Roche GS FLX sequencer and Titanium chemistry for the pyrosequencing.",NA
"138","SRR5405786","SRA550824",NA,NA
"139","ERR2227764","ERA1167337",NA,NA
"140","ERR1306544","ERA571967","The aim is to verify the impact of the phytase added in the broiler diet on microbial profile of caecum and broiler meat","The aim is to verify the impact of the phytase added in the broiler diet on microbial profile of caecum and broiler meat"
"141","SRR4305224","SRA481012","This is a longitudinal collection of stool samples from infants at risk for disease. Approximately 1,000 newborns were recruited to the birth cohort as part of the international DIABIMMUNE Study (http://www.diabimmune.org/) for which the consent rate was 80% in Tartu, Estonia, 59% in Espoo, Finland, and 24% in Petrozavodsk, Russia. Recruitment took place between September 2008 and May 2010 in Estonia and Finland, and between September 2008 and July 2011 in Russia. Follow-up was completed in April 2013 in Estonia and Finland, and in October 2013 in Russia. The final number of children included in the present study was 74 from each country. Inclusion criteria included positive cord blood testing for HLA DR-DQ alleles conferring increased risk for autoimmunity. The participating children were monitored prospectively for infections, use of drugs including antibiotics, and other life events.",NA
"142","SRR6659559","SRA654526",NA,NA
"143","ERR1306543","ERA571967","The aim is to verify the impact of the phytase added in the broiler diet on microbial profile of caecum and broiler meat","The aim is to verify the impact of the phytase added in the broiler diet on microbial profile of caecum and broiler meat"
"144","SRR6659597","SRA654526",NA,NA
"145","SRR1437755","SRA146236","C.diff FMT",NA
"146","SRR5675761","SRA573569","Amazon river samples shot-gun sequenced for metagenomics analysis",NA
"147","SRR5056799","SRA498975","This project takes advantage of challenge studies with an important human pathogen, Vibrio cholera, the etiological agent of cholera, which causes severe diarrhea in developed countries. The goal of this study is to understand the dynamic interactions between the host, pathogen and microbiota and how these interactions play a role in determining the pathogen population in the host, the development of an immune response, and the diversity and ecology of the microbiota. The project uses a combination of genomic, transcriptomic and metagenomic technologies together with human challenge studies to generate new insights into the interaction of host, pathogen, and microbiota.",NA
"148","SRR5912597","SRA597612",NA,NA
"149","SRR3132242","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"150","SRR1215946","SRA150208","Risk Stratification and Identification of Immunogenetic and Microbial Markers of Rapid Disease Progression in Children with Crohnâ€™s Disease.",NA
"151","SRR5249709","SRA537487","Quasi-metagenomics for rapid trace-back of pathogens from complex matrices: a case study with Listeria monocytogenes from ice-cream linked to an outbreak",NA
"152","SRR1647078","SRA200640","Viruses can impact microbiome structure and function through predation and genetic exchange, but little is known of cutaneous viral communities and their interactions with their hosts. To query virus-host interactions of the skin, we performed parallel metagenomic sequencing and an integrated analysis of DNA isolated from virus-like particles (VLPs) and total microbial communities. To assess spatial, interpersonal, and temporal variance, samples were collected from eight anatomical skin sites of 16 healthy individuals over two months. Skin viral communities were dominated by tailed bacteriophages--viruses replicating on human cells were comparatively rare. Similar to the skin whole metagenome, viral community composition and diversity was strongly associated with the microenvironment of the site sampled, and temporal variation within an individual was small compared to differences between individuals. Virome communities were enriched for genes indicative of a temperate phage replication style, indicating that many infections would be non-lethal to the host and provide an opportunity for gene transfer. CRISPR spacers identified in the bacterial DNA sequences provided a record of phage predation. Among these, some spacers targeted phage found at different body sites, suggesting that CRISPR spacer acquisition may provide a mechanism to explain spatial partitioning of skin phage communities. Our findings provide new insight into the skin virome, its interactions with the whole metagenome, and establish a foundation for understanding these dynamics in skin health and disease.",NA
"153","SRR5535879","SRA561646",NA,NA
"154","SRR1491575","SRA146236","C.diff FMT",NA
"155","SRR5601453","SRA566121","the mechanism of subtidal biofilm formation on the material surface by using metatranscriptomic analysis",NA
"156","SRR5253636","SRA537985",NA,NA
"157","SRR1197057","SRA146236","C.diff FMT",NA
"158","SRR6235503","SRA626330",NA,NA
"159","SRR1490934","SRA146236","C.diff FMT",NA
"160","SRR3132276","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"161","SRR7125603","SRA699853",NA,NA
"162","SRR2938127","SRA312534","Microbiome and resistome of human fecal and environmental microbiota from rural El Salvador and peri-urban Lima, Peru",NA
"163","SRR5405785","SRA550824",NA,NA
"164","SRR5040904","SRA496996","The characterisation of virome of Cameroonian fruit bats to identify novel viruses of zoonotic potential",NA
"165","SRR7892484","SRA777555",NA,NA
"166","SRR6659477","SRA654526",NA,NA
"167","SRR1490824","SRA146236","C.diff FMT",NA
"168","SRR5155968","SRA524775","We conducted metagenomic and metatranscriptomic sequencing of the human gut microbiome among 308 participants enrolled in a subcohort of men nested within the Health Professionals Follow-up Study. Using a previously validated self-sampling stool collection method (PMID24843156), participants provided up to four stool samples â€“ one set of samples collected approximately 48 hours apart followed by a second set approximately 6 months later. DNA extracted from 929 stool samples and RNA extracted from 378 stool samples was reverse-transcribed to cDNA and sequenced using the Illumina HiSeq platform. Raw data were filtered to remove low quality and human reads. Metagenomic and metatranscriptomic read data were then profiled for functional and taxonomic composition using the HUMAnN2 and MetaPhlAn2 platforms respectively.",NA
"169","SRR1490984","SRA146236","C.diff FMT",NA
"170","SRR4101319","SRA458525","fresh bagged spinach spiked with STEC",NA
"171","SRR6145086","SRA617768",NA,NA
"172","SRR1197729","SRA146236","C.diff FMT",NA
"173","SRR3132116","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"174","SRR1197613","SRA146236","C.diff FMT",NA
"175","SRR3933356","SRA442324","ESRF shotgun metagenomics project",NA
"176","SRR6659560","SRA654526",NA,NA
"177","SRR1917939","SRA246515","Human bacterial communities associated with oropharyngeal, vaginal, and gastrointestinal specimens",NA
"178","SRR4029085","SRA452384",NA,NA
"179","SRR6740146","SRA659908",NA,NA
"180","SRR4188650","SRA464348","16S rRNA gene amplification and shotgun sequencing was performed on the bacterial DNA from the surface of macroalgae and planktonic communities from surrounding seawater in order to delineate the influence of different, but phylogenetically closely relatedalgal hosts, as well as spatial factors on bacterial community composition andfunction.",NA
"181","SRR6659483","SRA654526",NA,NA
"182","SRR3132336","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"183","SRR4101312","SRA458525","fresh bagged spinach spiked with STEC",NA
"184","ERR2227554","ERA1167337",NA,NA
"185","SRR2105898","SRA276074","Human sputum and synthetic metagenomic samples used in selective DNA isolation using restriction enzymes",NA
"186","ERR209322","ERA179067","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host"
"187","SRR1438011","SRA171032","The of this study was to analyse the viromes of 20 faecal samples of wild urban brown rats from Berlin, Germany with subsequently whole genome characterization of a group A rotavirus.",NA
"188","SRR2053289","SRA268934","Surface water collected in the Baltic Proper, 10 km east of Ã–land in the Baltic Proper (N 56Â°55.851, E 17Â°03.640)",NA
"189","SRR1980334","SRA246099","Paired mucosal j-pouch and afferent limb samples from postoperative ulcerative colitis and familial ademonatous polyposis patients from Mount Sinai Hospital, Toronto. Samples were collected during pouch endoscopy and 16S sequenced.",NA
"190","SRR1980334","SRA246099","This is a prospective, longitudinal collection of stool samples from infants at risk for disease. Infants from Finland and Estonia were recruited at birth based on HLA risk genotyping. Parents collected their infantsâ€™ stool at approximately monthly intervals and promptly stored the sample in the freezer prior to shipment for sample processing and sequencing. The cohort comprised of 33 infants, 11 of which seroconverted to serum autoantibody positivity and of those, four developed T1D within the three year time-frame of this study.",NA
"191","SRR1196622","SRA146236","C.diff FMT",NA
"192","ERR2244206","ERA1179513",NA,NA
"193","SRR6659579","SRA654526",NA,NA
"194","SRR1437915","SRA146236","C.diff FMT",NA
"195","ERR2227781","ERA1167337",NA,NA
"196","SRR1491414","SRA146236","C.diff FMT",NA
"197","SRR1491231","SRA146236","C.diff FMT",NA
"198","SRR1215676","SRA150208","Risk Stratification and Identification of Immunogenetic and Microbial Markers of Rapid Disease Progression in Children with Crohnâ€™s Disease.",NA
"199","ERR209392","ERA179067","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host"
"200","SRR3132138","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"201","ERR209448","ERA179067","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host"
"202","SRR5665151","SRA573379","Colorectal cancer is the second leading cause of cancer-related death in the United States and is a primary cause of morbidity and mortality throughout the world. Its risk has been linked to changes in colonic bacterial community composition. Viruses are another important component of the colonic microbial community, however they have yet to be studied in colorectal cancer despite their oncogenic potential. We evaluated the colorectal cancer virome (virus community) in stool using a cohort of 90 human subjects with either healthy, adenomatous (precancerous), or cancerous colons. We utilized 16S rRNA gene, whole shotgun metagenomic, and purified virus metagenomic sequencing methods to compare the colorectal cancer virome to the bacterial community. We identified no detectable difference in diversity (alpha or beta) between healthy, adenomatous, or cancerous colonic samples, but more sophisticated random forest models identified striking changes in the virus community. The majority of the cancer-associated virome consisted of temperate bacteriophages, suggesting that the community was indirectly linked to colorectal cancer by modulating bacterial community structure and function. Our data suggested that the influential phages did not exclusively infect influential bacteria, but rather acted through the community as a whole. These results provide foundational evidence that bacteriophage communities are associated with colorectal cancer and likely impact cancer progression by altering the bacterial host communities.",NA
"203","SRR1197760","SRA146236","C.diff FMT",NA
"204","SRR6659449","SRA654526",NA,NA
"205","SRR1915588","SRA246099","Paired mucosal j-pouch and afferent limb samples from postoperative ulcerative colitis and familial ademonatous polyposis patients from Mount Sinai Hospital, Toronto. Samples were collected during pouch endoscopy and 16S sequenced.",NA
"206","SRR1915588","SRA246099","This is a prospective, longitudinal collection of stool samples from infants at risk for disease. Infants from Finland and Estonia were recruited at birth based on HLA risk genotyping. Parents collected their infantsâ€™ stool at approximately monthly intervals and promptly stored the sample in the freezer prior to shipment for sample processing and sequencing. The cohort comprised of 33 infants, 11 of which seroconverted to serum autoantibody positivity and of those, four developed T1D within the three year time-frame of this study.",NA
"207","SRR1917931","SRA246515","Human bacterial communities associated with oropharyngeal, vaginal, and gastrointestinal specimens",NA
"208","SRR6659484","SRA654526",NA,NA
"209","SRR4305180","SRA481012","This is a longitudinal collection of stool samples from infants at risk for disease. Approximately 1,000 newborns were recruited to the birth cohort as part of the international DIABIMMUNE Study (http://www.diabimmune.org/) for which the consent rate was 80% in Tartu, Estonia, 59% in Espoo, Finland, and 24% in Petrozavodsk, Russia. Recruitment took place between September 2008 and May 2010 in Estonia and Finland, and between September 2008 and July 2011 in Russia. Follow-up was completed in April 2013 in Estonia and Finland, and in October 2013 in Russia. The final number of children included in the present study was 74 from each country. Inclusion criteria included positive cord blood testing for HLA DR-DQ alleles conferring increased risk for autoimmunity. The participating children were monitored prospectively for infections, use of drugs including antibiotics, and other life events.",NA
"210","SRR1438003","SRA171032","The of this study was to analyse the viromes of 20 faecal samples of wild urban brown rats from Berlin, Germany with subsequently whole genome characterization of a group A rotavirus.",NA
"211","SRR1219365","SRA150208","Risk Stratification and Identification of Immunogenetic and Microbial Markers of Rapid Disease Progression in Children with Crohnâ€™s Disease.",NA
"212","SRR5261043","SRA538381",NA,NA
"213","SRR7524149","SRA740133",NA,NA
"214","SRR3471272","SRA421598","Project to examine changes in the microbial communities across the estuary and under different substrate incubation conditions.",NA
"215","SRR7125628","SRA699853",NA,NA
"216","ERR1916164","ERA872065",NA,NA
"217","SRR4101292","SRA458525","fresh bagged spinach spiked with STEC",NA
"218","SRR1027557","SRA075724","Our studies aim to probe various environments, including the soil and gut environments, for interesting or novel microbial functions of industrial, environmental, or medical relevance. We apply sequence- and function-based metagenomic techniques to explore these environments.",NA
"219","SRR6323321","SRA633984",NA,NA
"220","SRR3954023","SRA444619","This study was designed to evaluate the genetic determinants of phage resistance in Synechococcus",NA
"221","SRR5535745","SRA561591","Urinary tract infection is thought to result from the growth of a limited number of uropathogenic organisms in an otherwise sterile environment. We revisited this concept by analyzing clean-catch urine samples representing a spectrum of clinical laboratory profiles. Whole genome shotgun sequencing was served to described the microbial metagenome. Infection was associated with dominant organisms in the metagenome as well as novel potential pathogens that are difficult to grow in routine cultures.",NA
"222","SRR5127623","SRA508822","As part of the 500 Functional Genomics (500FG) project, stool samples from 471 healthy adults were subjected to metagenomic shotgun sequencing (one time point per individual). Concurrently, blood samples were collected from each individual and the cytokine production was measured in response to bacterial and fungal stimulations. Significant inter-individual variation was observed in the gut microbial profiles as well as the immunological profiles. Subsequent association testing showed that microbiome-host interactions modulate the inflammatory cytokine production capacity in healthy individuals.",NA
"223","SRR1215911","SRA150208","Risk Stratification and Identification of Immunogenetic and Microbial Markers of Rapid Disease Progression in Children with Crohnâ€™s Disease.",NA
"224","SRR6659502","SRA654526",NA,NA
"225","SRR3131996","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"226","SRR1462770","SRA146236","C.diff FMT",NA
"227","SRR1212160","SRA150208","Risk Stratification and Identification of Immunogenetic and Microbial Markers of Rapid Disease Progression in Children with Crohnâ€™s Disease.",NA
"228","SRR5249716","SRA537487","Quasi-metagenomics for rapid trace-back of pathogens from complex matrices: a case study with Listeria monocytogenes from ice-cream linked to an outbreak",NA
"229","SRR4305052","SRA481012","This is a longitudinal collection of stool samples from infants at risk for disease. Approximately 1,000 newborns were recruited to the birth cohort as part of the international DIABIMMUNE Study (http://www.diabimmune.org/) for which the consent rate was 80% in Tartu, Estonia, 59% in Espoo, Finland, and 24% in Petrozavodsk, Russia. Recruitment took place between September 2008 and May 2010 in Estonia and Finland, and between September 2008 and July 2011 in Russia. Follow-up was completed in April 2013 in Estonia and Finland, and in October 2013 in Russia. The final number of children included in the present study was 74 from each country. Inclusion criteria included positive cord blood testing for HLA DR-DQ alleles conferring increased risk for autoimmunity. The participating children were monitored prospectively for infections, use of drugs including antibiotics, and other life events.",NA
"230","SRR5935941","SRA599569","The main Inflammatory Bowel Disease (IBD) Multi''omics Database (IBDMDB) study includes multiâ€™omics measurements from over 100 subjects, sampled biweekly over up to a year in both adult and pediatric patients with IBD (Crohnâ€™s disease and ulcerative colitis), along with non-IBD controls. Data types include fecal metagenomes, metatranscriptomes, metabolomes, and proteomes, as well as host genetics, intestinal biopsy transcriptomes, epigenetics, and 16S amplicon profiles. Subjectsâ€™ medical histories and demographics are collected at baseline and medication, diet, and disease activity profiled longitudinally.",NA
"231","SRR5963254","SRA596977","Time-series fecal samples for a cohort of premature infants in NICU",NA
"232","SRR6659509","SRA654526",NA,NA
"233","SRR7524153","SRA740133",NA,NA
"234","SRR1491449","SRA146236","C.diff FMT",NA
"235","SRR5386138","SRA549291",NA,NA
